M135,21,,,,,,,,,,,,,,,
M136,36,,,,,,____,,,,,,,,,
M137,33,,,,,,,,,,,,,,,
M138,127,,,,,,,,,,,,,,,
M139,86,,,,,,,,,,,,,,,
M140,238,,,,,,,,,,,,,,,
M141,38,,,,,,,,,,,,167,,,
M142,234,,,,,,,,,,,,,,,
M143,80,____,,,,,,,,,,,,,,
M144,10,,,,,,,,,,,,,,,
M145,80,166,,,,,,,,,,,,,,
M146,38,,,,,,,,,,,,165,,,
M147,49,,,,,,,,,,,____,,,,
M148,54,,,,,,,,____,,,,,,,
M149,41,,,,,,,,,,,,,,,
M150,49,,,,,,,,,,,164,,,,
M151,98,,,,,,,,,____,,,,,,
M152,90,,,,,,,,,,,,,,,
M153,73,,,,,,,,,,163,,,,,
M154,57,,,,,,,,,,,,,,,
M155,60,,,,,,,,,,,,,,,
M156,48,,,____,,,,,,,,,,,,
M157,25,,,,____,,,,,,,,,,,
M158,7,,,,,,,,,,,,,,,
M159,88,,____,,,,,,,,,,,,,
M160,98,,,,,,,,,162,,,,,,
M161,55,,,,,,,,,,,,,,,
M162,54,,,,,,,,161,,,,,,,
M163,52,,,,,,,,,,,,,,,
M164,77,,,,,,,160,,,,,,,,
M165,36,,,,,,159,,,,,,,,,
M166,56,,,,,,,,,,,,,,,
M167,121,,,,,,,,,,,,,,,
M168,36,,,,,,158,,,,,,,,,
M169,126,,,,,,,,,,,,,,,
M170,27,,,,,,,,,,,,,,,
M171,9,,,,,,,,,,,,,,,
M172,80,157,,,,,,,,,,,,,,
M173,26,,,,,,,,,,,,,,,
M174,80,156,,,,,,,,,,,,,,
M175,29,,,,,,,,,,,,,,,
M176,32,,,,,____,,,,,,,,,,
M177,0,NO,,,,,,,,,,,,,,
M178,39,,,,,,,,,,,,,,,
M179,62,,,,,,,,,,,,,,,
M180,40,,,,,,,,,,,,,,,
M181,64,,,,,,,,,,,,,,,
M182,1,,,,,,,,,,,,,,,
M183,2,,,,,,,,,,,,,,,
M184,32,,,,,155,,,,,,,,,,
M185,25,,,,154,,,,,,,,,,,
M186,48,,,153,,,,,,,,,,,,
M187,88,,152,,,,,,,,,,,,,
M188,22,,,,,,,,,,,,,,,
M189,34,,,,,,,,,,,,,,,
M190,65,,,,,,,,,,,,,,,
M191,80,151,,,,,,,,,,,,,,
M192,51,,,,,,,,,,,,,,,
M193,71,,,,,,,,,,,____,,,,2
M194,68,,,,,,,,,,,,,,,2
M195,17,,,,,,,,,,,,,,,2
M196,99,,,,,,,,,,,,,,,2
M197,230,,,,,,,,,,,,,,,3
M198,37,,,,,,,,,,,,,,,3
M199,115,,,,,,,,,,,,,,,3
M200,69,,,,,,,,,,,,,,,3
M201,65,,,____,,,,,,,,,,,,4
M202,203,,,,,,,,,,,,,,,4
M203,28,,,,,,____,,,,,,,,,4
M204,140,,,,,,,,,,,,,,,4
M205,62,,,,,,,,,,,,,,,5
M206,1,,,,,,,,,,____,,,,,5
M207,51,,,,,,,,,,,,,,,5
M208,12,,,,,,,,,,,,,,,5
M209,75,,,,,,,,,,,,,,,6
M210,30,____,,,,,,,,,,,,,,6
M211,20,,,,____,,,,,,,,,,,6
M212,15,,,,,,,,,,,,,,,6
M213,13,,,,,,,,,____,,,,,,7
M214,20,,,,164,,,,,,,,,,,7
M215,1,,,,,,,,,,163,,,,,7
M216,28,,,,,,162,,,,,,,,,7
M217,108,,,,,,,,,,,,,,,8
M218,8,,____,,,,,,,,,,,,,8
M219,110,,,,,,,,,,,,,,,8
M220,43,,,,,,,,,,,,,,,8
M221,98,,,,,,,,,,,,,,,9
M222,30,161,,,,,,,,,,,,,,9
M223,9,,,,,,,,,,,,,,,9
M224,1,,,,,,,,,,160,,,,,9
M225,13,,,,,,,,,159,,,,,,10
M226,35,,,,,,,____,,,,,,,,10
M227,53,,,,,,,,,,,,,,,10
MTP,59,,,,,,,,,,,,,,,10
M228,71,,,,,,,,,,,165,,,,11
M229,73,,,,,,,,,,,,,,,11
M230,138,,,,,,,,,,,,,,,11
M231,116,,,,,,,,,,,,,,,11
M232,104,,,,,,,,,,,,,,,12
